ts,asset,funding_received,premium_gain,cost,net,cluster
2026-04-17,APRUSDT,0.00728542,0.00156867,0.02,-0.01114591,2026-04
2024-11-29,APTUSDT,0.005645430000000001,-0.0006972299999999999,0.008,-0.0030517999999999995,2024-11
2025-07-15,ARCUSDT,0.005601480000000001,0.00246963,0.02,-0.01192889,2025-07
2025-07-20,ARCUSDT,0.00759609,-0.00250651,0.02,-0.01491042,2025-07
2025-08-10,ARCUSDT,0.0024130700000000002,0.00011124,0.02,-0.017475690000000002,2025-08
2025-09-11,ARCUSDT,0.00864305,0.00112286,0.02,-0.010234090000000001,2025-09
2025-09-18,ARCUSDT,0.00817645,-0.00030962,0.02,-0.01213317,2025-09
2025-09-24,ARCUSDT,0.008205249999999999,0.00171028,0.02,-0.010084470000000002,2025-09
2025-09-30,ARCUSDT,0.00917113,0.00235629,0.02,-0.00847258,2025-09
2025-10-31,ARCUSDT,0.02163092,0.00105355,0.02,0.0026844700000000013,2025-10
2025-11-05,ARCUSDT,0.017595839999999998,-0.00336407,0.02,-0.005768230000000003,2025-11
2025-11-10,ARCUSDT,0.017670369999999998,-7.604000000000031e-05,0.02,-0.002405670000000002,2025-11
2025-11-15,ARCUSDT,0.02600692,0.00299911,0.02,0.009006029999999998,2025-11
2025-11-22,ARCUSDT,0.02705175,-0.0008792100000000001,0.02,0.006172540000000001,2025-11
2026-01-21,ARCUSDT,0.018810800000000003,-0.00115678,0.02,-0.0023459799999999975,2026-01
2026-02-04,ARCUSDT,0.01685265,0.00345389,0.02,0.000306540000000001,2026-02
2026-02-23,ARCUSDT,0.0206793,0.00054057,0.012,0.009219870000000002,2026-02
2023-11-06,ARKMUSDT,0.00453424,0.00020190000000000008,0.02,-0.01526386,2023-11
2023-11-11,ARKMUSDT,0.003708,0.00061531,0.02,-0.01567669,2023-11
2023-11-01,ARPAUSDT,0.00239567,0.00051146,0.02,-0.01709287,2023-11
2025-08-09,ASRUSDT,0.00147225,0.00056973,0.02,-0.01795802,2025-08
2023-11-09,ASTRUSDT,0.00416783,-4.452000000000004e-05,0.02,-0.01587669,2023-11
2023-02-21,ATAUSDT,0.0015734999999999998,3.93e-06,0.012,-0.01042257,2023-02
2023-04-15,ATAUSDT,0.00278192,0.0,0.02,-0.01721808,2023-04
2024-09-17,ATAUSDT,0.00085276,0.00208109,0.02,-0.017066150000000002,2024-09
