date,open,high,low,close,volume,return,cum_return
2020-10-29,13266.4,13642.91,12920.77,13455.7,74872.602132,0.014269131037809801,-0.2956111871331031
2020-10-30,13455.69,13669.98,13115.0,13560.1,70657.778881,0.007758793671083675,-0.29014597966984923
2020-10-31,13560.1,14100.0,13411.5,13791.0,67339.238515,0.017027898024350785,-0.278058657799492
2020-11-01,13791.0,13895.0,13603.0,13761.5,36285.648526,-0.002139076209121904,-0.2796029453489747
2020-11-02,13761.49,13830.0,13195.05,13549.37,64566.421908,-0.015414744032263838,-0.29070768154801696
2020-11-03,13549.63,14066.11,13284.99,14023.53,74115.630787,0.034994985006682855,-0.2658860074984345
2020-11-04,14023.53,14259.0,13525.0,14144.01,93016.988262,0.008591274807412841,-0.2595790324488866
2020-11-05,14144.01,15750.0,14093.56,15590.02,143741.522673,0.1022347976281126,-0.18388224467168712
2020-11-06,15590.02,15960.0,15166.0,15579.92,122618.197695,-0.0006478503555480408,-0.18441096684964564
2020-11-07,15579.93,15753.52,14344.22,14818.3,101431.206553,-0.048884718278399464,-0.22428080696615293
2020-11-08,14818.3,15650.0,14703.88,15475.1,65547.178574,0.04432357287948019,-0.18989816077970567
2020-11-09,15475.1,15840.0,14805.54,15328.41,108976.334134,-0.009479098681107079,-0.19757719605542123
2020-11-10,15328.41,15460.0,15072.46,15297.21,61681.919606,-0.002035436160697679,-0.1992104764467385
2020-11-11,15297.21,15965.0,15272.68,15684.24,78469.746458,0.025300692086988485,-0.17894994728483127
2020-11-12,15684.25,16340.7,15440.64,16291.86,102196.356592,0.03874079968171884,-0.14714181166392826
2020-11-13,16291.85,16480.0,15952.35,16320.7,75691.881014,0.0017702091719422608,-0.14563207427656966
2020-11-14,16320.04,16326.99,15670.0,16070.45,59116.347179,-0.015333288400620093,-0.1587323440819266
2020-11-15,16069.56,16180.0,15774.72,15957.0,43596.841513,-0.007059540958716193,-0.16467130755612336
2020-11-16,15957.0,16880.0,15864.0,16713.57,81300.675924,0.04741304756533182,-0.12506582852859538
2020-11-17,16713.08,17858.82,16538.0,17659.38,115221.403102,0.05658934626175016,-0.07555387574296257
2020-11-18,17659.38,18476.93,17214.45,17776.12,149019.788134,0.006610651110061427,-0.0694426849454508
2020-11-19,17777.75,18179.8,17335.65,17802.82,93009.561008,0.0015020150629045936,-0.06804497384134278
2020-11-20,17802.81,18815.22,17740.04,18655.67,88423.018489,0.04790533185192003,-0.023399359042147516
